Date,Daily Dota 2 Peak Player count
1/21/2019 0:00,724212
1/22/2019 0:00,730332
1/23/2019 0:00,735642
1/24/2019 0:00,735486
1/25/2019 0:00,734448
1/26/2019 0:00,840712
1/27/2019 0:00,839729
1/28/2019 0:00,766446
1/29/2019 0:00,762357
1/30/2019 0:00,881256
1/31/2019 0:00,829519
2/1/2019 0:00,830562
2/2/2019 0:00,905794
2/3/2019 0:00,913496
2/4/2019 0:00,810070
2/5/2019 0:00,809825
2/6/2019 0:00,796298
2/7/2019 0:00,807572
2/8/2019 0:00,836728
2/9/2019 0:00,911025
2/10/2019 0:00,930430
2/11/2019 0:00,859462
2/12/2019 0:00,853919
2/13/2019 0:00,851888
2/14/2019 0:00,797211
2/15/2019 0:00,880281
2/16/2019 0:00,949294
2/17/2019 0:00,956229
2/18/2019 0:00,867809
2/19/2019 0:00,862613
2/20/2019 0:00,846470
2/21/2019 0:00,854303
2/22/2019 0:00,882742
2/23/2019 0:00,969099
2/24/2019 0:00,983435
2/25/2019 0:00,907124
2/26/2019 0:00,917479
2/27/2019 0:00,873952
2/28/2019 0:00,812740
3/1/2019 0:00,895799
3/2/2019 0:00,1000447
3/3/2019 0:00,1007840
3/4/2019 0:00,926692
3/5/2019 0:00,894932
3/6/2019 0:00,967011
3/7/2019 0:00,939457
3/8/2019 0:00,969484
3/9/2019 0:00,1045353
3/10/2019 0:00,1028866
3/11/2019 0:00,942503
3/12/2019 0:00,923610
3/13/2019 0:00,923760
3/14/2019 0:00,901416
3/15/2019 0:00,945718
3/16/2019 0:00,1025678
3/17/2019 0:00,1004180
3/18/2019 0:00,913647
3/19/2019 0:00,916534
3/20/2019 0:00,912918
3/21/2019 0:00,920142
3/22/2019 0:00,934521
3/23/2019 0:00,1014569
3/24/2019 0:00,1009405
3/25/2019 0:00,936503
3/26/2019 0:00,921362
3/27/2019 0:00,921260
3/28/2019 0:00,896612
3/29/2019 0:00,915183
3/30/2019 0:00,1008098
3/31/2019 0:00,1001512
4/1/2019 0:00,917982
4/2/2019 0:00,889058
4/3/2019 0:00,921478
4/4/2019 0:00,914394
4/5/2019 0:00,913854
4/6/2019 0:00,939918
4/7/2019 0:00,909135
4/8/2019 0:00,887825
4/9/2019 0:00,881145
4/10/2019 0:00,872107
4/11/2019 0:00,882437
4/12/2019 0:00,923065
4/13/2019 0:00,970128
4/14/2019 0:00,973544
4/15/2019 0:00,870901
4/16/2019 0:00,855360
4/17/2019 0:00,819524
4/18/2019 0:00,807477
4/19/2019 0:00,872612
4/20/2019 0:00,888837
4/21/2019 0:00,887397
4/22/2019 0:00,826748
4/23/2019 0:00,811503
4/24/2019 0:00,770558
4/25/2019 0:00,775576
4/26/2019 0:00,814209
4/27/2019 0:00,855899
4/28/2019 0:00,847379
4/29/2019 0:00,788959
4/30/2019 0:00,804627
5/1/2019 0:00,862674
5/2/2019 0:00,830932
5/3/2019 0:00,856221
5/4/2019 0:00,865134
5/5/2019 0:00,873126
5/6/2019 0:00,813985
5/7/2019 0:00,807138
5/8/2019 0:00,955703
5/9/2019 0:00,939011
5/10/2019 0:00,936283
5/11/2019 0:00,980303
5/12/2019 0:00,998345
5/13/2019 0:00,895150
